name,platform,release_date,summary,metascore,userscore
CSI: Crime Scene Investigation: 3 Dimensions of Murder,PlayStation 2,"September 25, 2007","Players work alongside Gil Grissom, Catherine Willows and the rest of the original Las Vegas cast to help solve intense cases and investigate crimes using cutting-edge techniques and real-world forensic equipment. CSI: 3 Dimensions of Murder improves upon the successfulcore design concepts of previous CSI games, featuring an all-new,real-time 3D engine, enriched character interactions and animations, and longer, more immersive stories. [Ubisoft]",tbd,8.4
Cabela's African Safari,PlayStation 2,"October 17, 2006","Players discover Africa's untamed wild as they hunt a variety of African big game in pursuit of the ultimate hunting challenge – the feared Big Five – leopards, lions, elephants, rhinos and Cape buffalo. In Cabela’s African Safari, players choose from seven, 10 or 14 day safaris including open safari, game tracking, baiting and herd hunting missions. The game features over 30 exotic species of animals including sable, kudu, gemsbok, eland, waterbuck, impala and much more, as well as all new African waterfowl and upland bird hunting. Cabela's African Safari also features an unlockable Big Five Trophy level where gamers can experience the world’s most dangerous animals at their fiercest. Hunters also have access to an arsenal of authentic firearms including big caliber weapons they will need to bring down charging rhinos and thundering elephants. In addition, all-new shooting controls and features including Adrenaline Mode, Hunter Sense and Shot Cam, allow gamers to hone in on their prey with more accuracy and ease. [Activision]",tbd,8.5
Cabela's Alaskan Adventures,PlayStation 2,"September 19, 2006","Players use a combination of skill and strategy to complete 38 hunting and fishing adventures across 12 vast Alaskan regions from the North Slope to Ketchikan. With more customization than ever before, each adventure begins at an Alaskan outpost where players choose from thousands of gear options including rifles, shotguns, bows and arrows, fishing tackle, clothing, scents, calls and more. Gamers are also able to go exploring or get to their next hunting spot by choosing to ride a snowmobile, truck or ATV.  With more than 20 species of the most sought after Alaskan Trophy Game including Yukon Moose, Barren Ground Caribou, Grizzly and Kodiak Bears, Roosevelt Elk, Dall Sheep, Sitka Black-Tailed Deer, and 10 different species of Alaskan fish, including Sockeye Salmon, Dolly Varden and Arctic Char, hunters and fisherman alike will be challenged for hours in the virtual Alaskan wild. [Activision]",tbd,7.4
Cabela's Big Game Hunter,PlayStation 2,"November 6, 2007","Take aim at the world's biggest game in the most prestigious hunting spots in the 2008 edition of Cabela's Big Game Hunter. The experts at Cabela's have captured all the anticipation and skill of tracking and bagging big game, and year after year Big Game Hunter keeps raising the stakes. This time around you'll test your hunting skills in settings including Africa, Montana, New Zealand, and beyond.",tbd,tbd
Cabela's Big Game Hunter,PlayStation 2,"November 26, 2002","Choose from a variety of different hunters and an array of firearm, clothing, gear and equipment options. Explore numerous rugged, wild hunting terrains and use the detailed on-screen map to stay informed of the location of your vehicle, campsite, lodge and prime hunting spots. An in-game guide offers tips and advice, and keeps you hot-on-the-trail of trophy game. A health meter lets you know when inclement weather, lack of food and water or run-ins with dangerous animals are taking their toll. The Trophy Beacon and X-Ray option gives novice hunters the necessary information for a quick, clean kill and aids in downed-game recovery. [Cabela's]",59,8.0
Cabela's Big Game Hunter 2005 Adventures,PlayStation 2,"November 10, 2004","Building on the rich history and success of the hunting genre, Cabela's Big Game Hunter 2005 Adventures is the first story-based hunting adventure. Players can hunt and explore using inter-connected maps and trek through six massive regions with varying environments and terrains. As players progress through the game, they can hunt more than 36 big game animals including traditional favorites like elk and moose, as well as rare breeds of animals such as bison, stone sheep and musk ox. Highly detailed and improved instructions on game play as well as guides explaining how to hunt specific animals are just some of the new features added to Cabela's Big Game Hunter 2005 Adventures. If players are in need of improving their game they now have the chance to sharpen their skills by practicing with clay and skeet shooting. After mastering the hunt or if they want to determine how their skills are improving, players can track their progress with high-scores tracking. The game features three levels of difficulty and two game play modes, ""Quick Hunt"" and ""Career Hunt."" ""Quick Hunt"" allows players to hunt without having to worry about time, health or the wilderness survival elements of the game. To experience the complete hunting adventure, ""Career Hunt"" will allow the player to take full advantage of the game. [Activision Value]",55,8.4
Cabela's Dangerous Hunts,PlayStation 2,"November 11, 2003","Cabelas Dangerous Hunts delivers intense hunting action in exotic locations throughout the world. Featuring some of the world's most ferocious animals, such as Grizzly, Leopards, Rhinos, Cape Buffalo and more, in palm-sweating, heart-pounding hunting action. You?ll soon realize first-hand what every hunter fears most in terrifying ""Kill or Be Killed"" hunting action never before available! [Activision Value]",57,8.3
Cabela's Dangerous Hunts 2,PlayStation 2,"November 16, 2005","The latest title in Cabela's best-selling franchise, Cabela's Dangerous Hunts 2 provides you with savage animal encounters and a true adrenaline-pumping experience. Expert regional guides lead you on 12 epic adventures to exotic locations around the globe in search of the world's most dangerous animals in this story-based journey. Rescue others in danger - Take on the world's most dangerous animals on their own turf in order to rescue others in eminent danger. Hunt from a helicopter or truck in regions never before seen in a hunting game - Russia, Argentina, and India. Three gameplay mechanics - Sniping, shooting from the back of a vehicle, and fighting up close & personal. 20 exotic species and 12 global locations - Hunt Rhinos in India, Lions in Africa, Polar bears in Russia and more. [Activision Value]",tbd,5.9
Cabela's Dangerous Hunts 2009,PlayStation 2,"September 23, 2008","Cabela's Dangerous Hunts 2009 is all about nonstop danger and fast action - this is a thrilling hunting experience for both hunting enthusiasts and first-person action fans. The stats speak for themselves: the game has 25 of the world’s most dangerous animals, including lions, grizzly bears, Cape buffalo, rhino, jaguars and more in 9 exotic, rugged locations like the South American jungle, Alaskan wilderness, and the Russian tundra. To top it off, ferocious beasts aren't the only way you can meet your maker - you must survive plane crashes and boat down treacherous rivers, as well as avoid avalanches, stampedes, and piranha-infested waters. You play as Flint Abrahams, a seasoned big game hunter on a quest to hunt the world's deadliest trophies. Equipped with Cabela's gear, the most respected outdoor recreation brand in the world, one would think the odds are on your side. But no one has even seen animals this fierce - they will charge you if you miss your shot, then you will be forced to fight them via melee defense. But pay attention, nearby animals may join the attack, which means dire consequences for those without the requisite combination of brawn and pinpoint shooting ability. [Activision]",tbd,7.8
Cabela's Deer Hunt 2005 Season,PlayStation 2,"August 26, 2004","Deer Hunt 2005 Season features 18 all new missions, private game ranches and clay and skeet shooting. Exotic species, branded animal calls, all new deer modeling and action-packed missions truly make this the next evolution of deer hunting that consumers demand. Clay, Trap and Skeet shooting for the first time ever. 9 deer species to hunt, including 3 all new never before offered species: Piebalo, Albino and Melanistic. 9 regions with 3 maps each, including locked levels on an all new private game ranches. 2 modes of gameplay: Career Hunt provides ability to unlock levels, items, missions and trap shooting mini-games. 1000s of gear options + 4 vehicle types with advanced physics.",tbd,8.5
Cabela's Deer Hunt: 2004 Season,PlayStation 2,"August 27, 2003","Cabela's Deer Hunt: 2004 Season is the most realistic deer hunting game ever developed. There are vast regions, 9 varieties of deer with over 94 racks, more ways to track game animals, awesome animal AI and a wide variety of weights, ages and migration patterns. You will need all of your senses to locate, track and bag the buck of a lifetime! So put on your blaze orange and let the hunt begin!",tbd,8.7
Cabela's Legendary Adventures,PlayStation 2,"September 17, 2008","Cabela’s Legendary Adventures is the latest title in the popular Cabela's franchise, where for the first time hunting enthusiasts get to relive the greatest hunting stories ever told. Players embark on epic hunting expeditions over the last century in search of legendary trophy animals in the world’s most celebrated hunting locations. Environments like the Yukon Territory and the Rocky Mountains are free-roaming and full of wild game - the hunter must adapt to the terrain, track animal behavior, and master precision firearms.  The title focuses on ten big game species including White-Tailed Deer, Alaskan Brown Bear and Roosevelt Elk, but there is also a variety of species of small game, waterfowl, upland birds and turkey to hunt if you possess the expertise.",tbd,tbd
Cabela's Monster Bass,PlayStation 2,"November 19, 2007","Cabela’s Monster Bass puts players’ angling skills to the test as it focuses on the most exciting part of fishing – adrenaline pumping, fish fighting action. Utilizing authentic Cabela's fishing gear with hundreds of tackle and lure combinations, players set their sights on nine species of bass, including largemouth, smallmouth, spotted, and striped, as well as 14 other trophy fish such as trout, salmon, catfish, and walleye.  Cabela’s Monster Bass combines the use of real world strategies with actual fishing lake environments to allow fans of all types to land that prize and become the ultimate bass fisherman. [Activision]",tbd,5.8
Cabela's North American Adventures,PlayStation 2,"September 14, 2010","Cabela's North American Adventures introduces fresh touches that hunters will appreciate, including a custom gun builder that allows players the ability to create thousands of gun options with a variety of receivers, stocks, barrels, and scopes.  The game also capitalizes on the popularity of hunting shows and online videos by adding a cameraman into gameplay - to get compelling footage, hunters need to be at their best! Also, for the first time in franchise history, up to four friends can hunt together online at once (Xbox 360 and PlayStation 3).  Once the hunt is done, friends can share their scores through online leader boards for bragging rights. ",tbd,tbd
Cabela's Outdoor Adventures (2005),PlayStation 2,"September 14, 2005","Cabela's Outdoor Adventures provides you with the hunting & fishing expedition of a lifetime with 22 outdoor adventures across North America and beyond. Fly, boat and trek from Utah to Mexico to New Zealand in search of 10 different species of trophy bucks or stop off and angle for the local fish. While on your adventure, you'll also have the opportunity to hunt 11 species of both big game and small game, compete in shooting contests and embark on varied missions. Your Cabela's Guide introduces each true-to-life outdoor adventure where stealth, strategy and technique are of the utmost importance. Features 11 exotic locations around the world from Utah to Mexico to New Zealand where you can hunt and fish native species. 10 deer, 11 big game, 11 small game, and 11 fish species. Shop at an authentic Cabela's store where you can choose from thousands of authentic gear options including: Firearms and bows, fishing rod and reel combos, deer locator, scents, calls, clothing and more.",tbd,8.9
Cabela's Outdoor Adventures (2009),PlayStation 2,"September 9, 2009","Cabela's Outdoor Adventures features North America's top outdoor destinations, over 50 hunting and fishing adventures and intensive use of gear and tactics, such as animal calls and stealth skills. Emphasis is placed on moments that are instinctively associated with hunting and fishing, like stalking the animals, squeezing the trigger, hooking a fish or snap-shooting a flushed bird, all while respecting real life hunting rules and regulations. Players can also upgrade their hunting gear with authentically branded real life equipment. Brand new to the franchise is an all-new shooting system known as VITALS (Visually Integrated Targeting and Lock-on System) that allows the player to focus on delivering an accurate shot to the prey’s vitals, while also creating a closer and more personal view of the animals as they react realistically to being hunted. Even better, you can create your trophy buck - customize your deer’s rack, body and color. For the new players, the game offers integrated tutorials and guided hunts. [Activision]",tbd,6.6
Cabela's Trophy Bucks,PlayStation 2,"September 19, 2007","Experience fast paced hunting action in pursuit of record trophy bucks across 24 state and provinces in North America. Gameplay starts at the most critical and exciting parts of each hunting mission where you are immediately presented with a challenge. Paired with incredibly realistic gameplay and North America's most popular deer, waterfowl, upland birds, small game and varmint species, you will be able to hunt for animals and in places that most hunters could only dream of experiencing in a lifetime. Your well honed hunting instinct, keen oberservation and quick decision making will be essential in your quest to become the ultimate North American hunter. Features Include: Hunt 11 species of trophy deer including Whitetail, Rocky Mountain Mule Deer, Sitka, Desert Mule Deer, Columbian Black Tail and more! Travel to North America's top hunting regions across 24 states and provinces ranging from the Sonoran Desert in Mexico to Northern Canada. Experience 96 fast paced hunting missions in levels that are focused and defined and facilitate a specific hunting scenario. All new hunts including calling in wild turkeys, scaring up upland birds with a hunting dog and long range varmint hunting. Achieve 5 career hunting slams for deer, turkey, waterfowl and more. You'll need all the help you can get including skill upgrades and power-ups to acomplish your mission. Visit the Cabela's Gun Library to select one of sixteen different realistically modeled weapons. Compete in 24 shooting competitions based on real-life tournaments. [Activision Value]",tbd,tbd
Cake Mania: Baker's Challenge,PlayStation 2,"October 17, 2008","Wait for customer requests, bake their cakes, ice and decorate them, then hand them out and collect your cash in Cake Mania: Baker's Challenge.",tbd,tbd
Call of Duty 2: Big Red One,PlayStation 2,"November 1, 2005","Experience a wide variety of missions on land, sea, and in the air, with the aid of over three dozen authentic American, Italian, French, and German weapons. Charge into battle together as Allied and Axis planes duel overhead, artillery explosions shake the ground and choke the air, and bullets and shrapnel streak past you and your squadmates. Experience war-torn Europe and Africa, from the blistering desert expanses of Tunisia and Libya to the beautiful yet deadly countrysides of Italy, France, Belgium, and Germany. You are thrust into the role and story of a member of The Big Red One, America’s most heroic and decorated infantry division. Experience the camaraderie of a single tight-knit army squad, bound together through the chaos of battle over the course of the entire game. Yes, you will suffer casualties; you must not suffer defeat. Through all-new AI and animation, your allies (and your enemies) just got a lot smarter. Your squad will now make better use of environmental cover and tactical Maneuvers, such as flanking, envelopment, and fire-and-maneuver behaviors. Hear your allies reacting to the events on the battlefield with contextually accurate battle chatter. [Activision]",77,7.9
Call of Duty 3,PlayStation 2,"November 7, 2006","Call of Duty 3 delivers the intensity of being closer than ever to the fury of combat during the battle for the Liberation of Paris, the most harrowing campaign of WWII, known as The Normandy Breakout.  Through a seamless narrative, Call of Duty 3 delivers the rush of unrelenting battle and breathtaking action of the Allied offensive that changed the fate of the world. [Activision]",82,7.6
Call of Duty: Finest Hour,PlayStation 2,"November 16, 2004","Developed by Spark Unlimited, a newly formed studio comprised of 27 of the individuals who developed titles in the ""Medal of Honor"" series, Call of Duty: Finest Hour is a separate and distinct game from the PC first-person shooter. It features a unique storyline, missions and battlefield environments; intense battlefield conflicts; unsung heroes fighting as part of a crack squad through the chaos of battle; playable perspectives from three different allied sides -- American, British, and Russian; authentic weapons, vehicles, environments, combat missions and the real sounds of war. [Activision]",76,7.4
Call of Duty: Legacy,PlayStation 2,"November 14, 2007","Call of Duty: Legacy includes two previously released games: 2004's Call of Duty: Finest Hour and 2005's Call of Duty 2: Big Red One. Finest Hour takes players on a cinematic campaign that includes battles in Stalingrad, North Africa, and Belgium. Big Red One expands the missions from the ground to the sea and in the air with missions set in Tunisia, Libya, Italy, France, Belgium, and Germany. Both games offer online support for up to 16 players.
",tbd,tbd
Call of Duty: World at War - Final Fronts,PlayStation 2,"November 10, 2008","Developed exclusively for the PlayStation 2 computer entertainment system, this game offers a companion experience to Call of Duty: World at War, featuring its own unique set of missions, engagements and challenges that are set within the Pacific and European campaigns through many of the pivotal battles that led to the end of the world's greatest war.",tbd,6.5
Capcom Classics Collection,PlayStation 2,"September 27, 2005","Capcom Classics Collection takes players back to the days of break dancing and waiting in endless arcade lines to see how long they can make their coveted quarter last. Spanning over 10 years of Capcom history, this anthology contains hundreds of hours of gameplay with treasured favorites including the WWII-style plane assault of '1942', defeating Metro City street gangs in 'Final Fight', rescuing Princess Guinevere against zombies and demons in 'Ghosts 'n Goblins', the unforgettable title 'Commando', plus 18 other classics that everyone grew up with! All of these titles can be played in either single or two player modes while experiencing a bountiful of bonus features such as remixed soundtracks, original art and playing tips, just to name a few. Experience more than 20 groundbreaking and revolutionary games of their time on one disk. [Capcom]",78,8.3
Capcom Classics Collection Volume 2,PlayStation 2,"November 24, 2006",Capcom Classics Collection Vol. 2 brings together 20 of Capcom's golden arcade games on one disk. Turn your console into a time machine and step into memory lane to relive the glory days of yesteryear. Multiplayer games allow you to challenge all your friends. Unlock cheats to help you beat your favorite games. Unlockable training videos give you the upper hand in performing powerful moves. Gallery gives you a glance at the original art while giving a history lesson on the games. [Capcom],74,8.0
Capcom Fighting Evolution,PlayStation 2,"November 16, 2004","Capcom Fighting Evolution includes popular characters from five classic titles in the Street Fighter and other Capcom series: Street Fighter II, Darkstalkers, Street Fighter III, Red Earth and Street Fighter Alpha. Players must strategically use their combat systems to defeat their opponentas they square off in battle. The character change system allows players to choose a combatant for each round of the battle. Choosing the right fighter based on the strengths of the fighting systems will be the key to victory! Two-on-two team battles - Choose a character for each round of battle; strategically pick the combatant based on the opponent?s powers and weaknesses. Classic 6 button control scheme. Title specific combat systems - Characters maintain their original fighting styles from their specific titles. [Capcom]",57,5.0
Capcom vs. SNK 2: Mark of the Millennium 2001,PlayStation 2,"November 6, 2001",Choose from over 44 characters from an arsenal of fighters from the Capcom and SNK fighting universes and customize your fighting style with even more fighting ?Grooves.? [Capcom],81,8.2
Capcom vs. SNK Pro,PlayStation,"August 14, 2002",Two monster corporations at war. One solution. A massive martial arts event is organized to settle the score and eliminate all conflict between the two parties. Join over 30 brawlers from Capcom's legendary Street Fighter and SNK's renowned King of Fighters series; as they fight for universal domination. Capcom vs. SNK PRO...the ultimate collision of strength and power.,74,8.5
Carmen Sandiego: The Secret of the Stolen Drums,PlayStation 2,"September 8, 2004","The last descendant of an African King reveals an ancient secret with his dying words: Deep in the jungles of Rwanda lies a hidden temple containing a great diamond which possesses the knowledge of all nations. The map to the temple has been etched onto the skins of eight drums scattered throughout the world. All eight drums must be re-united to open the temple. But beware, the drums are protected by mysterious powers, and legend has it that elemental spirits guard the treasure! Meanwhile, priceless African antiquities are turning up missing from museums all over the world. Missing or stolen? The M.O. looks hauntingly familiar? The A.C.M.E. team recognizes Carmen Sandiego?s infamous signature. Now, join A.C.M.E. agent-in-training, Cole Gannon, along with Jules Argent and Shadow Hawkins, in an all-new action-adventure on the trail of Carmen Sandiego, the world?s greatest thief. This case will take Cole around the world; from a museum in New York, to the beaches of New Zealand, to the Incan ruins of Machu Picchu, and that's just the beginning. While on the case, Cole will have to use acrobatics, stealth, martial arts, and most of all, his wit, to stop Carmen from unearthing the drums and making off with the lost treasure! [BAM! Entertainment]",53,tbd
Carol Vorderman's Sudoku,PlayStation 2,"March 6, 2007","Carol will talk you through a number of topics including: An introduction to Sudoku: Learn the origins and rules of this popular puzzle. A step-by-step guide on how to play the game that has become a global obsession. Carol will lend a hand and help you solve an entire puzzle from start to finish. Hints and tips: Gain knowledge on how to become a great Sudoku player. Tutorials for every level of player, if you're a master or novice, find out how to improve your game with live action, easy to follow tutorials. Multi-player Hot seat and wireless play: Go head to head or take on the hot seat and win by solving puzzles in the fastest time. 4 difficulty levels, a level to suit all players, from beginners to experts. 1,000,000 plus unique Sudoku puzzles! That's right over a million boards to choose from. Easy to use interface and grid assistance: If you need to erase a number or ask for help it's simple. Puzzle Solver: Solve any puzzle from any source. Multiple game modes: Choose from never seen before game modes and even challenge Carol herself. Classic Sudoku - Career mode- work your way up to a Sudoku master. Challenge Carol mode – can you beat the best? 2-player modes. Head to head wireless play and Hot seat. Multiple Arcade modes: Beat The Clock, Extra Time, Perfection, 3 Strikes. [Xplosiv]",75,tbd
Cars,PlayStation 2,"June 6, 2006","Race to the finish line as you live all the fun and excitement of the Walt Disney Pictures presentation of a Pixar Animation Studios film, ""Cars."" Play as all your favorite characters as you help Lightning McQueen capture the coveted Piston Cup Championship. The game is a story-based racing adventure game that relives all of the key moments of the movie. It features more than 10 playable characters from the film and an open world environment with more than 50 races. [THQ]",71,8.6
Cars Mater-National Championship,PlayStation 2,"October 29, 2007","Cars Mater-National features an all-new International group of racers vying for their chance to compete against Lightning McQueen in the First Annual Mater-National Race Festival, hosted by Lightning’s best friend, Mater. Explore the new and improved open world of Radiator Springs, play in the all-new Monster Mode, jump into the fast lane with 6 new International racing competitors, burn rubber on new tracks, and twist and turn your way through new mini-games like Ramone’s Rhythmic Rumble and Fillmore’s Fuel Frenzy. Explore the new open world of Radiator Springs, Lightning McQueen’s new Racing Headquarters, and practice facility Over 20 challenging mini-games. 7 exciting new international characters. Multiple new adrenaline-packed tracks to race on. Go head to head with over 10 multiplayer games. [THQ]",67,7.6
Cars Race-O-Rama,PlayStation 2,"October 12, 2009","In Cars Race-O-Rama, players join Lightning McQueen and Chick Hicks in Radiator Springs as they prepare their academy of student racers to compete in the Race-O-Rama Exhibition. Players encounter 12 new playable characters making their video game debut. A new and improved Lightning McQueen comes fully equipped with special racing kits, allowing him to better maneuver brand new, action-packed tracks that takes players to metro city streets, the Baja desert and sandy beaches. In addition, players are now able to modify Lightning McQueen’s wheels, rims, hood, side skirt, rear bumper, spoiler and paint with special customization features, giving Lightning a personalized style and look that has never been seen before. As players compete in this high-speed, racing adventure game, they can utilize Lightning McQueen’s newly designed drifting abilities and perform ""Kachow"" poses for enthusiastic reporters and fans encountered throughout the game. Cars Race-O-Rama also features multiplayer mini-games based on Disney-Pixar’s ""Cars Toons,"" a series of animated shorts that are currently being aired on the Disney Channel. [THQ]",tbd,8.3
Cartoon Network Racing,PlayStation 2,"December 4, 2006","Cartoon Network Racing pits your favorite characters from Cartoon Network's original shows in a Kart Racing tournament against each other. -Race with characters from The Powerpuff Girls, Dexter's Laboratory, Courage the Cowardly Dog, Cow and Chicken, I.M. Weasel, and Johnny Bravo, and -- Just select your favorite driver, co-driver and weapons and you're ready to go! This is no ordinary race - players experience a wild and wacky ride as they battle through 24 different circuits of cartoon craziness, collecting power-ups, eliminating their rivals, rocking and socking their way to victory. The Rules of Racing are simple: win! Be the first to cross the line and you'll win the race. Sounds easy? Not when you're competing against rival drivers, each out to win. Add crazy hazards, weapons, power-ups and more and you'll see why this is no walk in the park. [The Game Factory]",39,7.3
Casper: Spirit Dimensions,PlayStation 2,"September 30, 2001","In the Spirit world where evil prevails, Casper must use all of his ghostly powers to defeat Kibosh's wicked plot to rule all. Traveling by flight through mysterious portals, Casper will discover phantom dimensions where he must destroy the haunting spirits that are out to stop his mission. [TDK Mediactive]",58,4.0
Castle Shikigami 2,PlayStation 2,"November 17, 2004","(Known as ""Shikigami no Shiro II"" in Japan)  The sequel to ""Mobile Light Force 2"", as it was know in the Western territories. The game plays like a traditional shooter in the style reminiscent of ""Ikaruga,"" It enables players to control flying humans instead of ships.",67,7.4
Castlevania Chronicles,PlayStation,"October 8, 2001","Count Dracula has been resurrected to begin a new reign of terror across the land. As Simon Belmont, descendant of legendary vampire hunters, you enter Dracula's estate to face the Count and his minions - alone. Be prepared for one of the first adventures in the Castlevania series ever!",69,7.0
Castlevania: Curse of Darkness,PlayStation 2,"November 1, 2005","The legendary Castlevania series returns with a new story and a new hero. Hector, one of two Devil Forgemasters who once trained under Dracula, has fled Vallachia disillusioned with the ideals of his mentor. Now, three years after Dracula was defeated in battle at the hands of the Belmonts, Isaac – a former friend and fellow Devil Forgemaster suddenly reappears and orchestrates the execution of Hector's beloved. Fueled by revenge, Hector returns to Vallachia to confront Isaac. Use Devil Forgery skills to develop & enhance ""Innocent Devils"" allies. RPG elements featuring character growth based on experience points. A deep storyline that unfolds against a backdrop of beautifully environments. Increased number of unlockable features enhances replayability. [Konami]",70,8.1
Castlevania: Lament of Innocence,PlayStation 2,"October 21, 2003","Set in the 11th Century, Castlevania: Lament of Innocence thrusts players ten centuries into the past and casts them in the role of Leon Belmont, the forefather of the legendary Belmont. Leon is a nobleman about to be engaged to his beloved Sara. However, when his young lover disappears one fateful evening, Leon sets out to rescue her. Armed with only a dagger, it is not until an unexpected ally, an alchemist, offers him a protective whip that Leon is ready to begin his hunt. The rich story of Castlevania: Lament of Innocence follows Leon through the perilous forest and into Dracula's foreboding gothic Castle. Upon entering the castle, players will step into an ethereal world that is guarded by blood thirsty guards and ruled by Dracula's wicked whimsy. Players will face five doors - each one leading into a dark area of the castle - the Cathedral, the Theatre, the Garden, the Alchemist Laboratory and the Dungeon. Trekking through hundreds of rooms, players will battle over 35 different kinds of enemies before facing the final boss. Fighting tooth and nail in each monster battle, Leon must combine his whip and five sub-weapons (Holy Water, Dagger, Cross, Axe and Crystal) to defeat the monsters. Additionally, seven orbs can be combined with 10 action relics in order to create powerful attacks and stunning special effects. Featuring a fixed camera and intuitive controls, Castlevania: Lament of Innocence delivers a groundbreaking action/adventure experience that is designed to satisfy core Castlevania fans as well as players that are new to the series.",79,8.5
Castlevania: Symphony of the Night,PlayStation,"October 2, 1997","As a descendant of Dracula, you must end the vampire bloodline. Can you rid the world of this unspeakable terror? Uncover the mystery of Castlevania and challenge an adventure as legendary as its name. Over 140 different enemies, bosses, and ghastly creatures. Awesome magical spells - transform into a bat, a wolf, or etheral mist. Hidden weapons, secrets, and characters...the largest Castlevania ever!",93,9.0
Catwoman,PlayStation 2,"July 20, 2004","Control Catwoman as you play the movie, utilizing her unique catlike skills, senses and cunning to defeat her enemies. Boasting incredible acrobatic skills, Catwoman can leap across roofs, run up walls, pounce on prey, utilize inimitable ""cat senses,"" and avoid enemy bullets with feline grace. In addition, she can use her whip to swing through the air, and utilize the fully interactive environments to trap or knock her foes unconscious. The game takes you through numerous levels set in seven different locations from the movie. [Electronic Arts]",46,6.7
Champions of Norrath,PlayStation 2,"February 10, 2004","Create your own champions, each with unique powers, appearances and skills in this Action RPG. Experience an epic adventure filled with powerful action and ominous intrigue. Battle vicious monsters where your mastery of weaponry and spells is the only thing between you and the supremacy of evil. Champions of Norrath allows gamers to create their own unique hero to journey from the city of Faydwer into the wilds of Norrath to save the land from a gathering army of evil orcs and goblins. Players can adventure alone or with a band of up to three other players either over the Internet or on a single PlayStation 2 system with a Multitap. Import player characters into friends' games using a memory card and then take them home to play solo--the play options offer console gamers the freedom to play anytime and from any location. Champions of Norrath offers players more than 100 hours of gameplay per player character, unlimited battles, deadly missions and unmatched character customization in an enthralling fantasy world. [Sony Online Entertainment]",85,8.2
Champions: Return to Arms,PlayStation 2,"February 7, 2005","The Champions of Norrath have destroyed the god Innoruuk, shattering his body into shards of hate. Innoruuk's followers and allies have taken it upon themselves to gather these shards in order to resurrect their fallen prince. Firiona Vie has called upon the champions to take up the crusade against evil to rid Norrath of this evil threat once and for all. The game is designed to offer more than 100 hours of gameplay per character, unlimited battles, deadly missions and the ability to import characters from the original game. The game also features: Two new playable races; Earn medals based on gameplay performance, which can then be used to unlock secret levels; Thousands of new items, weapons, armor and magical artifacts to acquire; All-new and beautifully detailed environments; New spells and abilities for all classes; A host of new monsters to battle and non-player characters to encounter; Innovative medal system which unlocks secret gameplay modes; Secret Epic items of incredible power found through unlockable side quests; The ability to import characters from the original game and start at a higher difficulty level; Increased level limits?take characters to level 80; More than 50 gameplay areas along with a mission system containing non-linear side quests; All new multiplayer and online gameplay options. [Sony Online Entertainment]",77,8.2
Championship Motocross 2001 Featuring Ricky Carmichael,PlayStation,"January 30, 2001","It's a solid game that's fun to watch, but it's no longer the only game in town.",70,7.3
Championship Surfer,PlayStation,"December 4, 2000","While far from perfect, it is easily the best surfing game on the market, but more importantly, it's also a fun game.",57,tbd
Chaos Legion,PlayStation 2,"August 6, 2003","Savage by Nature. Two allies torn apart by tragedy...yet bound by fate. The three sacred glyphs...the mythic and forbidden symbols of an ancient world torn apart. Only these mystic relics have the power to open the Gateway of Chaos and lead the people to the Red Moon. Legend says that when the three glyphs meet, the three worlds will once again be reunited. Two men, once friends, now have their fates tied together by the tragic death of a young maiden. One, a brave young knight and summoner of the Chaos Legion. The other, a noble lord who has fallen to the dark side. Both hold thekey to the sacred glyphs in their power. The legions shall be summoned in this dark gothic opera!  [Capcom]",65,7.8
Chaos Wars,PlayStation 2,"May 30, 2008","Chaos Wars is an immersive tactical role-playing experience featuring your favorite characters from such games as; Growlanser, Shadow Hearts, Gungrave, Spectral Force, and many others. [EB Games]",64,6.4
Charlie and the Chocolate Factory,PlayStation 2,"July 11, 2005","Step inside the magical world of Willy Wonka's famous chocolate factory. Based on the feature film directed by Tim Burton and the classic Roald Dahl book, the game allows players to explore deep inside the factory and play the beloved story as Charlie Bucket. Find a Golden Ticket and, along with four other children, win a personal tour of Willy Wonka's factory guided by the notorious and reclusive candy-maker himself. Embark on a fantastic adventure exploring the many extraordinary environments of the factory, including some from the book that do not appear in the film. Discover what happens after the other children, greed-driven and unrestrained, wreak havoc throughout the factory. Then save the chocolate factory from their destruction by solving mystifying puzzles and using inventive candy powers. By helping the Oompa-Loompas and restoring order to the factory, Charlie can earn the respect of Willy Wonka and win an unexpected prize. Acquire incredible abilities by using fantastic new candies in order to save the factory. Stop the ""rotten"" children from causing chaos and destruction throughout the candy factory. Repair huge, bizarre candy-making machines by solving puzzles and enlisting the help of the Oompa-Loompas. Explore numerous rooms and environments inside Willy Wonka's chocolate factory. [Global Star]",35,4.1
Chessmaster,PlayStation 2,"May 28, 2003","Test your chess skills against live opponents online or improve your game immediately at chess school. The game includes a variety of chess modes, such as Quick Game, Rated Play, Handicap, Set-up Position, and Puzzle. Along with the most powerful chess engine available on the console, Chessmaster also includes features just for fun. Josh Waitzkin gives advice and easy-to-understand instructions for improving your game. [Ubi Soft]",79,7.5
